DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,ES,2021,55,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,ES,2022,60,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2012,9590,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2013,11080,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2014,13290,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2015,14080,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2016,17485,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2017,43455,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2018,35535,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2019,31950,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2020,21595,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2021,26740,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EU27_2020,2022,26980,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2011,20,
